Battery_ID,Temperature,Voltage,Current,Internal_Resistance,Charge_Time,Discharge_Time,SOC,SOH,DOD,Ambient_Humidity,RUL
1,26.65,3.1,1.65,0.132,61,115,99.99,99.99,0.01,49.01,9999
1,31.99,3.18,1.49,0.142,56,112,99.98,99.98,0.02,33.73,9998
1,27.17,3.49,1.53,0.112,58,119,99.97,99.97,0.03,33.49,9997
1,26.13,3.67,1.87,0.137,50,116,99.96,99.96,0.04,52.99,9996
1,34.1,3.45,1.51,0.06,62,130,99.95,99.95,0.05,30.31,9995
1,25.0,3.67,1.63,0.079,70,119,99.94,99.94,0.06,49.5,9994
1,25.58,3.11,1.99,0.112,66,118,99.93,99.93,0.07,46.32,9993
1,38.22,3.49,1.34,0.073,56,125,99.92,99.92,0.08,48.37,9992
1,29.72,3.65,1.94,0.072,66,129,99.91,99.91,0.09,49.91,9991
1,25.84,3.42,1.6,0.068,70,110,99.9,99.9,0.1,59.02,9990
1,31.3,4.16,1.73,0.057,61,111,99.89,99.89,0.11,40.36,9989
1,39.44,3.86,1.26,0.145,57,116,99.88,99.88,0.12,57.93,9988
1,23.55,3.19,1.72,0.125,56,118,99.87,99.87,0.13,38.74,9987
1,21.67,3.9,1.24,0.105,65,118,99.86,99.86,0.14,55.38,9986
1,38.32,3.76,1.9,0.143,57,110,99.85,99.85,0.15,56.23,9985
1,33.11,3.21,1.08,0.099,64,124,99.84,99.84,0.16,31.15,9984
1,26.26,3.38,1.35,0.1,66,110,99.83,99.83,0.17,37.07,9983
1,21.77,4.06,1.31,0.137,61,115,99.82,99.82,0.18,33.26,9982
1,23.78,3.86,1.35,0.079,54,121,99.81,99.81,0.19,30.83,9981
1,20.97,3.85,1.31,0.068,69,126,99.8,99.8,0.2,57.25,9980
1,37.53,3.83,1.74,0.145,61,129,99.79,99.79,0.21,38.51,9979
1,21.93,3.64,1.07,0.116,69,126,99.78,99.78,0.22,50.49,9978
1,24.03,3.65,1.09,0.097,58,116,99.77,99.77,0.23,46.35,9977
1,36.8,3.26,1.63,0.093,53,118,99.76,99.76,0.24,50.04,9976
1,35.53,3.08,1.19,0.072,57,120,99.75,99.75,0.25,35.11,9975
1,39.75,3.34,1.4,0.093,50,129,99.74,99.74,0.26,30.59,9974
1,32.57,3.29,1.63,0.149,62,119,99.73,99.73,0.27,42.4,9973
1,22.27,3.48,1.28,0.075,65,124,99.72,99.72,0.28,30.06,9972
1,39.55,3.12,1.1,0.09,56,118,99.71,99.71,0.29,54.39,9971
1,26.46,4.01,1.14,0.093,64,118,99.7,99.7,0.3,42.79,9970
1,34.8,3.63,1.25,0.142,65,114,99.69,99.69,0.31,51.36,9969
1,39.13,3.67,1.82,0.144,63,110,99.68,99.68,0.32,32.54,9968
1,27.62,3.22,1.61,0.126,62,124,99.67,99.67,0.33,45.21,9967
1,22.58,4.04,1.91,0.074,65,124,99.66,99.66,0.34,43.06,9966
